pts,crf_ref,encode_order,intra_qp_ref,intra_total_bits,intra_y_psnr,intra_u_psnr,intra_v_psnr,intra_yuv_psnr,intra_ssim,intra_ssim_db,intra_total_time,poc,inter_qp_ref,inter_total_bits,inter_y_psnr,inter_u_psnr,inter_v_psnr,inter_yuv_psnr,inter_ssim,inter_ssim_db,inter_total_time,ctu_intra_pct,ctu_merge_pct,ctu_skip_pct,ctu_inter_pct
0,28,0,2227,1316696,45726,49194,48740,46537,988545,19410,22910,0,2227,1316152,45726,49194,48740,46537,988545,19410,14140,100,0,0,0
16667,28,1,3335,357992,38970,44209,43692,40215,960940,14083,28800,1,3279,48552,40509,48439,47856,42419,977890,16554,14400,10.29,64.9,8.32,16.49
33333,28,2,3337,358456,38945,44160,43586,40177,960799,14067,32010,2,3137,46744,40668,48363,47784,42519,977994,16575,14530,1.63,65.55,10.83,21.99
50000,28,3,3338,357392,38895,44125,43574,40133,960397,14023,42080,3,3142,48344,40728,48232,47660,42532,977892,16554,14150,1.17,70.55,5.98,22.3
66667,28,4,3334,357984,38995,44165,43682,40227,961133,14104,28170,4,3175,35560,40552,48000,47451,42345,977053,16393,3050,0.68,71.33,6.58,21.41
83333,28,5,3335,358024,38953,44237,43675,40204,960813,14069,38100,5,3112,44344,40737,47995,47448,42483,977303,16440,2880,0.95,68.46,6.42,24.17
100000,28,6,3335,361008,38936,44091,43666,40172,960759,14063,41130,6,3108,46584,40818,47937,47401,42531,977455,16469,2770,0.72,66.86,6.42,26
116667,28,7,3335,358832,38927,44165,43596,40166,960657,14051,30890,7,3089,48888,40832,47885,47361,42530,977342,16448,2770,0.93,62.71,9.26,27.1
133333,28,8,3335,357888,38943,44138,43546,40168,960728,14059,35890,8,3143,38632,40545,47565,47065,42237,976045,16206,2840,0.62,68.11,6.16,25.11
150000,28,9,3335,358056,38951,44142,43538,40173,960596,14045,27310,9,3038,47208,40733,47688,47202,42411,976722,16331,2850,0.93,62.72,8.5,27.85
166667,28,10,3336,360368,38871,44038,43527,40099,960056,13985,31150,10,3036,46320,40685,47592,47134,42354,976331,16258,2900,1,63.46,8.2,27.34
183333,28,11,3337,360688,38854,44007,43530,40082,959936,13972,41540,11,3044,48536,40646,47562,47091,42316,976144,16224,2870,1.09,61.82,8.34,28.75
200000,28,12,3336,358504,38934,44067,43584,40157,960416,14025,32800,12,3168,33912,40495,47438,46952,42170,975370,16085,2830,0.48,70.91,6.28,22.33
216667,28,13,3335,358912,38941,44149,43633,40179,960503,14034,37980,13,3066,43216,40739,47637,47189,42407,976303,16253,2850,0.46,64.49,7.18,27.87
233333,28,14,3334,358456,38958,44092,43647,40186,960777,14065,34620,14,3027,51432,40699,47667,47176,42380,976329,16258,2920,0.88,61.29,7.9,29.93
250000,28,15,3335,358072,38936,44136,43675,40179,960647,14050,29150,15,3040,47112,40705,47692,47197,42390,976264,16246,2880,0.66,64.96,4.68,29.7
266667,28,16,3334,356640,38953,44089,43585,40174,960498,14034,35820,16,3094,38896,40497,47385,46842,42151,975179,16052,2840,0.79,64.11,8.49,26.61
283333,28,17,3334,357048,38944,44006,43576,40155,960369,14020,35430,17,3088,48208,40685,47480,46935,42316,975816,16165,2810,0.79,64.12,6.24,28.85
300000,28,18,3335,359320,38894,44084,43517,40121,960221,14004,33840,18,3037,51256,40600,47466,46914,42248,975489,16106,2880,1.07,61.87,7.22,29.84
316667,28,19,3336,360096,38889,43980,43475,40099,960149,13996,33370,19,3086,50112,40588,47393,46821,42218,975329,16078,2870,0.54,64.81,5.72,28.93
333333,28,20,3334,358008,38927,44042,43538,40143,960360,14019,42400,20,3117,38720,40402,47276,46719,42051,974528,15939,2880,0.52,70.01,5.09,24.38
350000,28,21,3334,357888,38947,44098,43562,40168,960551,14040,30580,21,3040,52680,40622,47451,46912,42262,975285,16070,2840,1.81,61.18,6.92,30.09
366667,28,22,3336,357024,38937,44125,43632,40173,960383,14021,31760,22,3029,48672,40621,47470,46923,42265,975277,16069,2900,0.41,62.43,8.1,29.06
383333,28,23,3338,357184,38915,44049,43622,40145,960319,14014,48480,23,2975,59432,40618,47474,46919,42263,975177,16052,2910,1.52,57.25,8.36,32.87
400000,28,24,3335,357696,38939,44051,43591,40159,960346,14017,29850,24,3066,44128,40360,47142,46591,41986,974137,15873,3070,1.07,61.53,8.29,29.11
416667,28,25,3335,358472,38944,44041,43578,40161,960436,14027,31540,25,2998,56936,40521,47282,46721,42141,974638,15958,3300,2.37,56.03,8.32,33.28
433333,28,26,3335,361216,38871,44120,43571,40114,959922,13971,46640,26,3006,55656,40440,47262,46691,42074,974146,15875,3270,1.61,60.48,5.89,32.02
450000,28,27,3336,361800,38851,44056,43520,40086,959919,13971,25490,27,3009,55616,40424,47213,46644,42050,974057,15860,3210,1.95,59.71,6.81,31.53
466667,28,28,3336,359432,38915,44057,43564,40139,960056,13985,28930,28,3055,46448,40278,47001,46449,41889,973272,15730,2920,1.05,63.74,5.82,29.39
483333,28,29,3338,359392,38911,44104,43598,40146,960059,13986,48260,29,3029,52360,40447,47149,46629,42057,974057,15860,3160,1.13,62.6,6.34,29.93
500000,28,30,3339,360320,38898,44058,43630,40134,959921,13971,26820,30,2989,55928,40472,47161,46649,42081,973998,15850,3310,2.09,62.12,5.7,30.09
516667,28,31,3339,359624,38902,44082,43566,40133,959816,13959,30180,31,3009,56208,40454,47163,46681,42071,973803,15818,3280,1.75,58.91,6.18,33.16
533333,28,32,3336,357688,38963,44208,43771,40220,960751,14062,50290,32,3085,44008,40334,47171,46643,41977,973498,15767,3220,1.31,63.33,6.85,28.51
550000,28,33,3338,359448,38920,44158,43625,40163,960286,14011,29180,33,3035,57920,40446,47195,46664,42067,973821,15820,3150,1.52,61.34,6.1,31.04
